nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-22 19:29:40 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:29:41 /adminPanel ................................ ~ 500.29ms
  2026-01-22 19:29:41 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:30:03 /home ........................................ ~ 0.09ms
  2026-01-22 19:30:03 /images/triagemico.png ....................... ~ 0.06ms
  2026-01-22 19:30:03 /images/atendenteico.png ..................... ~ 0.21ms
  2026-01-22 19:30:03 /images/graficoico.png ....................... ~ 2.12ms
  2026-01-22 19:30:03 /images/painel.png ........................... ~ 2.27ms
  2026-01-22 19:30:03 /favicon.ico ................................. ~ 0.04ms
  2026-01-22 19:30:06 /adminPanel .................................. ~ 0.14ms
  2026-01-22 19:30:06 /favicon.ico ................................. ~ 0.66ms
  2026-01-22 19:30:13 /users/assign-category ....................... ~ 0.09ms
  2026-01-22 19:30:13 /favicon.ico ................................. ~ 0.28ms
  2026-01-22 19:38:32 / ............................................ ~ 0.10ms
  2026-01-22 19:38:32 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-22 19:38:33 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:38:34 /home ...................................... ~ 500.36ms
  2026-01-22 19:38:34 /images/triagemico.png ....................... ~ 0.04ms
  2026-01-22 19:38:34 /images/atendenteico.png ..................... ~ 0.19ms
  2026-01-22 19:38:34 /images/graficoico.png ....................... ~ 0.04ms
  2026-01-22 19:38:34 /images/painel.png ........................... ~ 0.19ms
  2026-01-22 19:38:34 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:44:58 /login ....................................... ~ 0.10ms
  2026-01-22 19:44:58 /images/login.png ............................ ~ 0.42ms
  2026-01-22 19:44:59 /favicon.ico ................................. ~ 0.12ms
  2026-01-22 19:45:37 /login ....................................... ~ 0.08ms
  2026-01-22 19:45:38 /login ....................................... ~ 0.02ms
  2026-01-22 19:45:38 /images/login.png .......................... ~ 500.30ms
